Pension Funds,Pensioenfonds
Rounding Adjustment (Company Currency,Ronde aanpassing (Maatskappy Geld
Course is mandatory in row {0},Kursus is verpligtend in ry {0}
Credit Account,Kredietrekening
Submission Date,Inhandigingsdatum
Change Template Code,Verander Sjabloon Kode
Total Sanctioned Amount,Totale Sanctioned Amount
New Expenses,Nuwe uitgawes
Healthcare Practitioner not available on {0},Gesondheidsorgpraktisyn nie beskikbaar op {0}
Transport Receipt No,Vervoerontvangstnr
Administrative Officer,Administratiewe Beampte
Probability (%),Waarskynlikheid (%)
Silty Clay Loam,Silty Clay Loam
WooCommerce Products,WooCommerce Produkte
Account Pay Only,Slegs rekeninge betaal
Cess,ning
"Set Default Values like Company, Currency, Current Fiscal Year, etc.","Stel verstekwaardes soos Maatskappy, Geld, Huidige fiskale jaar, ens."
Time Tracking,Tyd dop
Under Graduate,Onder Graduate
Supplier Part No,Verskaffer Deelnr
Party Balance,Partybalans
Source of Funds (Liabilities),Bron van fondse (laste)
Taxable Salary Slabs,Belasbare Salarisplakkers
Support Settings,Ondersteuningsinstellings
Please enter Production Item first,Voer asseblief Produksie-item eerste in
Grading Basis,Gradering Basis
Basic Amount,Basiese Bedrag
Pay To / Recd From,Betaal na / Recd From
Scrap Material Cost,Skrootmateriaal Koste
Received Quantity,Ontvang hoeveelheid
Sales Person-wise Transaction Summary,Verkope Persoonlike Transaksie Opsomming
Actual Operating Cost,Werklike Bedryfskoste
Mode of Payments,Betaalmetode
Send to Subcontractor,Stuur aan Subkontrakteur
Select Shipping Address,Kies Posadres
AB-,mis-
Project Summary for {0},Projekopsomming vir {0}
"{0} is mandatory for generating remittance payments, set the field and try again","{0} is verpligtend vir die opwekking van betalings, stel die veld in en probeer weer"
Some emails are invalid,Sommige e-posse is ongeldig
Calculate Depreciation,Bereken depresiasie
Term Name,Termyn Naam
Question,vraag
Exemption Sub Category,Vrystelling Subkategorie
More Details,Meer besonderhede
Earning,verdien
Click Enter To Add,Klik op Enter om by te voeg
Employee Group,Werknemersgroep
Specify Exchange Rate to convert one currency into another,Spesifiseer wisselkoers om een geldeenheid om te skakel na &#39;n ander
Ageing Range 4,Veroudering Reeks 4
Warehouse required for stock Item {0},Pakhuis benodig vir voorraad Item {0}
Could not solve criteria score function for {0}. Make sure the formula is valid.,Kon nie kriteria telling funksie vir {0} oplos nie. Maak seker dat die formule geldig is.
Include Reconciled Entries,Sluit versoende inskrywings in
Allow Zero Valuation Rate,Laat zero waarderingspercentage toe
Nothing more to show.,Niks meer om te wys nie.
"Tax Category has been changed to ""Total"" because all the Items are non-stock items",Belastingkategorie is verander na &quot;Totaal&quot; omdat al die items nie-voorraaditems is
