apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,Пенсионни фондове
DocType: Supplier Quotation,Rounding Adjustment (Company Currency,Коригиране на закръгляването (валута на компанията
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,Course is mandatory in row {0},Курсът е задължителен в ред {0}
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Credit Account,Кредитна сметка
DocType: Employee Tax Exemption Proof Submission,Submission Date,Дата за предаване
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure_template/clinical_procedure_template.js,Change Template Code,Промяна на шаблонен код
DocType: Expense Claim,Total Sanctioned Amount,Общо санкционирана сума
DocType: Email Digest,New Expenses,Нови разходи
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,Healthcare Practitioner not available on {0},Здравен лекар не е наличен на {0}
DocType: Delivery Note,Transport Receipt No,Разписка за транспорт №
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Administrative Officer,Административен служител
DocType: Opportunity,Probability (%),Вероятност (%)
DocType: Soil Texture,Silty Clay Loam,Сили глина
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.py,WooCommerce Products,Продукти на WooCommerce
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,Само плащане в профила
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Cess,данък
apps/erpnext/erpnext/config/settings.py,"Set Default Values like Company, Currency, Current Fiscal Year, etc.","Задаване на стойности по подразбиране като фирмата, валутата, текущата данъчна година и др."
apps/erpnext/erpnext/config/projects.py,Time Tracking,Проследяване на времето
DocType: Employee Education,Under Graduate,Под дипломирането
DocType: Request for Quotation Item,Supplier Part No,№ на частта на доставчика
DocType: Journal Entry Account,Party Balance,Балансиране на партита
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Source of Funds (Liabilities),Източник на средства (пасиви)
DocType: Payroll Period,Taxable Salary Slabs,Облагаемата работна заплата
DocType: Support Settings,Support Settings,Настройки за поддръжка
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Please enter Production Item first,"Моля, първо въведете Продуктов артикул"
DocType: Quiz,Grading Basis,Основа за оценяване
DocType: Stock Entry Detail,Basic Amount,Основна сума
DocType: Journal Entry,Pay To / Recd From,Изплащане / Откупуване от
DocType: BOM,Scrap Material Cost,Цена на материал за скрап
DocType: Material Request Item,Received Quantity,Получено количество
,Sales Person-wise Transaction Summary,Обобщена информация за транзакциите по продажби
DocType: Work Order,Actual Operating Cost,Действителни оперативни разходи
apps/erpnext/erpnext/selling/doctype/pos_closing_voucher/closing_voucher_details.html,Mode of Payments,Начин на плащане
DocType: Stock Entry,Send to Subcontractor,Изпращане до подизпълнител
DocType: Purchase Invoice,Select Shipping Address,Изберете Адрес за доставка
DocType: Student,AB-,AB-
apps/erpnext/erpnext/projects/doctype/project/project.py,Project Summary for {0},Резюме на проекта за {0}
apps/erpnext/erpnext/regional/india/bank_remittance.py,"{0} is mandatory for generating remittance payments, set the field and try again","{0} е задължително за генериране на плащания за парични преводи, задайте полето и опитайте отново"
apps/erpnext/erpnext/public/js/hub/marketplace.js,Some emails are invalid,Някои имейли са невалидни
DocType: Asset,Calculate Depreciation,Изчислете амортизацията
DocType: Academic Term,Term Name,Име на термина
DocType: Question,Question,въпрос
DocType: Employee Tax Exemption Declaration Category,Exemption Sub Category,Подкатегория за освобождаване
apps/erpnext/erpnext/www/all-products/item_row.html,More Details,Повече информация
DocType: Salary Component,Earning,Спечелването
DocType: Restaurant Order Entry,Click Enter To Add,Кликнете върху Enter To Add
DocType: Employee Group,Employee Group,Група на служителите
DocType: Currency Exchange,Specify Exchange Rate to convert one currency into another,"Задайте валутен курс, за да конвертирате една валута в друга"
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,Ageing Range 4,Диапазон на стареене 4
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Warehouse required for stock Item {0},Изисква се склад за склад {0}
apps/erpnext/erpnext/buying/doctype/supplier_scorecard_period/supplier_scorecard_period.py,Could not solve criteria score function for {0}. Make sure the formula is valid.,"Не може да се реши функцията за оценка на критерии за {0}. Уверете се, че формулата е валидна."
DocType: Bank Reconciliation,Include Reconciled Entries,Включете съгласувани записи
DocType: Purchase Invoice Item,Allow Zero Valuation Rate,Разрешаване на нивото на нулева оценка
apps/erpnext/erpnext/templates/includes/product_list.js,Nothing more to show.,Нищо повече за показване.
apps/erpnext/erpnext/controllers/buying_controller.py,"Tax Category has been changed to ""Total"" because all the Items are non-stock items","Данъчната категория е променена на &quot;Общо&quot;, тъй като всички елементи не са в наличност"
DocType: Salary Detail,Tax on flexible benefit,Данък върху гъвкавата полза
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,This is based on the Time Sheets created against this project,"Това се основава на времевите листове, създадени за този проект"
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Buying Rate,Купуващ курс
DocType: Water Analysis,Type of Sample,Тип на пробата
DocType: Budget,Budget Accounts,Бюджетни сметки
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Serial No {0} quantity {1} cannot be a fraction,Серийното Не {0} количество {1} не може да бъде дроб
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock In Hand,Запас в ръка
DocType: Workstation,Wages,заплати
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},Не е намерен запис за оставяне на служител {0} за {1}
DocType: Invoice Discounting,Accounts Receivable Unpaid Account,Неплатени сметки за вземания
DocType: GST Account,SGST Account,SGST профил
apps/erpnext/erpnext/hr/doctype/compensatory_leave_request/compensatory_leave_request.py,Half Day Date should be in between Work From Date and Work End Date,Датата на половин ден трябва да е между работната дата и крайната дата на работа
DocType: Employee Boarding Activity,Applicable in the case of Employee Onboarding,Приложимо в случай на наемане на служител
apps/erpnext/erpnext/controllers/buying_controller.py,Specified BOM {0} does not exist for Item {1},Указаната спецификация {0} не съществува за елемент {1}
apps/erpnext/erpnext/config/accounting.py,Company (not Customer or Supplier) master.,Компанията (не е клиент или доставчик).
DocType: Shopify Settings,Sales Invoice Series,Серия фактури за продажби
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Asset Movement record {0} created,Записът на движението на актива {0} е създаден
DocType: Lab Prescription,Test Created,Създаден е тест
DocType: Academic Term,Term Start Date,Начална дата на срока
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,Appointment {0} and Sales Invoice {1} cancelled,Назначаването {0} и фактурата за продажби {1} са анулирани
DocType: Purchase Receipt,Vehicle Number,Номер на превозното средство
apps/erpnext/erpnext/templates/includes/footer/footer_extension.html,Your email address...,Вашата електронна поща...
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.js,Include Default Book Entries,Включване на записи по подразбиране в книгата
DocType: Activity Cost,Activity Type,Тип дейност
DocType: Purchase Invoice,Get Advances Paid,Вземи платени аванси
DocType: Company,Gain/Loss Account on Asset Disposal,Сметка за печалба / загуба при обезвреждане на активи
DocType: GL Entry,Voucher No,Ваучер No
DocType: Item,Reorder level based on Warehouse,"Пренареждане на ниво, основано на Warehouse"
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,"Stopped Work Order cannot be cancelled, Unstop it first to cancel","Спираната поръчка за работа не може да бъде отменена, първо я прекъснете, за да отмените"
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} Серийните номера са необходими за елемент {1}. Предоставили сте {2}.
DocType: Customer,Customer Primary Contact,Основен контакт с клиента
DocType: Purchase Order Item Supplied,BOM Detail No,Подробност № на спецификацията
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Cash In Hand,Пари в брой
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,Празникът на {0} не е между дата и дата
apps/erpnext/erpnext/crm/doctype/opportunity/opportunity.py,Lead must be set if Opportunity is made from Lead,"Оловото трябва да бъде настроено, ако е направена възможност от олово"
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,Профилът със съществуваща транзакция не може да бъде преобразуван в група.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Timesheet {0} is already completed or cancelled,Разписанието {0} вече е завършено или анулирано
