apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,Fondos de la pensión
DocType: Supplier Quotation,Rounding Adjustment (Company Currency,Ajuste de redondeo (moneda de la empresa)
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,Course is mandatory in row {0},El curso es obligatorio en la fila {0}
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Credit Account,Cuenta de crédito
DocType: Employee Tax Exemption Proof Submission,Submission Date,Día de entrega
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure_template/clinical_procedure_template.js,Change Template Code,Cambiar código de plantilla
DocType: Expense Claim,Total Sanctioned Amount,Cantidad total sancionada
DocType: Email Digest,New Expenses,Nuevos gastos
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,Healthcare Practitioner not available on {0},El profesional de la salud no está disponible en {0}
DocType: Delivery Note,Transport Receipt No,Recibo de transporte No
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Administrative Officer,Oficial Administrativo
DocType: Opportunity,Probability (%),Probabilidad (%)
DocType: Soil Texture,Silty Clay Loam,Arcilla limosa limosa
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.py,WooCommerce Products,Productos de WooCommerce
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,Cuenta de pago solamente
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Cess,Impuesto
apps/erpnext/erpnext/config/settings.py,"Set Default Values like Company, Currency, Current Fiscal Year, etc.","Establezca valores predeterminados como Empresa, Moneda, Año fiscal actual, etc."
apps/erpnext/erpnext/config/projects.py,Time Tracking,Seguimiento del tiempo
DocType: Employee Education,Under Graduate,Graduado
DocType: Request for Quotation Item,Supplier Part No,Número de parte del proveedor
DocType: Journal Entry Account,Party Balance,Balance del partido
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Source of Funds (Liabilities),Fuente de Fondos (Pasivos)
DocType: Payroll Period,Taxable Salary Slabs,Losas de salarios gravables
DocType: Support Settings,Support Settings,Configuraciones de soporte
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Please enter Production Item first,Por favor ingrese el artículo de producción primero
DocType: Quiz,Grading Basis,Base de calificaciones
DocType: Stock Entry Detail,Basic Amount,Cantidad básica
DocType: Journal Entry,Pay To / Recd From,Pagar a / grabar desde
DocType: BOM,Scrap Material Cost,Costo de material de desecho
DocType: Material Request Item,Received Quantity,Cantidad recibida
,Sales Person-wise Transaction Summary,Resumen de la transacción de ventas por persona
DocType: Work Order,Actual Operating Cost,Costo de operación real
apps/erpnext/erpnext/selling/doctype/pos_closing_voucher/closing_voucher_details.html,Mode of Payments,Modo de pago
DocType: Stock Entry,Send to Subcontractor,Enviar al Subcontratista
DocType: Purchase Invoice,Select Shipping Address,Seleccione la dirección de envío
DocType: Student,AB-,AB-
apps/erpnext/erpnext/projects/doctype/project/project.py,Project Summary for {0},Resumen del proyecto para {0}
apps/erpnext/erpnext/regional/india/bank_remittance.py,"{0} is mandatory for generating remittance payments, set the field and try again","{0} es obligatorio para generar pagos de remesas, establezca el campo e intente nuevamente"
apps/erpnext/erpnext/public/js/hub/marketplace.js,Some emails are invalid,Algunos correos electrónicos son inválidos
DocType: Asset,Calculate Depreciation,Calcular la depreciación
DocType: Academic Term,Term Name,Nombre del término
DocType: Question,Question,Pregunta
DocType: Employee Tax Exemption Declaration Category,Exemption Sub Category,Subcategoría de exención
apps/erpnext/erpnext/www/all-products/item_row.html,More Details,Más detalles
DocType: Salary Component,Earning,Ganador
DocType: Restaurant Order Entry,Click Enter To Add,Haga clic en Entrar para agregar
DocType: Employee Group,Employee Group,Grupo de empleados
DocType: Currency Exchange,Specify Exchange Rate to convert one currency into another,Especifique el tipo de cambio para convertir una moneda en otra.
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,Ageing Range 4,Rango de envejecimiento 4
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Warehouse required for stock Item {0},Almacén requerido para stock artículo {0}
apps/erpnext/erpnext/buying/doctype/supplier_scorecard_period/supplier_scorecard_period.py,Could not solve criteria score function for {0}. Make sure the formula is valid.,No se pudo resolver la función de puntuación de criterios para {0}. Asegúrese de que la fórmula es válida.
DocType: Bank Reconciliation,Include Reconciled Entries,Incluir entradas reconciliadas
DocType: Purchase Invoice Item,Allow Zero Valuation Rate,Permitir tasa de valoración cero
apps/erpnext/erpnext/templates/includes/product_list.js,Nothing more to show.,Nada más que mostrar.
apps/erpnext/erpnext/controllers/buying_controller.py,"Tax Category has been changed to ""Total"" because all the Items are non-stock items",La categoría de impuestos se ha cambiado a &quot;Total&quot; porque todos los artículos son artículos que no están en stock
DocType: Salary Detail,Tax on flexible benefit,Impuesto sobre el beneficio flexible
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,This is based on the Time Sheets created against this project,Esto se basa en las Hojas de tiempo creadas contra este proyecto.
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Buying Rate,Tipo de cambio comprador
DocType: Water Analysis,Type of Sample,Tipo de muestra
DocType: Budget,Budget Accounts,Cuentas de presupuesto
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Serial No {0} quantity {1} cannot be a fraction,Número de serie {0} cantidad {1} no puede ser una fracción
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock In Hand,Stock en mano
DocType: Workstation,Wages,Salario
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},No se encontró registro de licencia para el empleado {0} para {1}
DocType: Invoice Discounting,Accounts Receivable Unpaid Account,Cuentas por cobrar Cuenta sin pagar
DocType: GST Account,SGST Account,Cuenta SGST
apps/erpnext/erpnext/hr/doctype/compensatory_leave_request/compensatory_leave_request.py,Half Day Date should be in between Work From Date and Work End Date,La fecha del medio día debe estar entre el trabajo desde la fecha y la fecha de finalización del trabajo
DocType: Employee Boarding Activity,Applicable in the case of Employee Onboarding,Aplicable en el caso de Onboarding de Empleados.
apps/erpnext/erpnext/controllers/buying_controller.py,Specified BOM {0} does not exist for Item {1},La lista de materiales especificada {0} no existe para el artículo {1}
apps/erpnext/erpnext/config/accounting.py,Company (not Customer or Supplier) master.,Empresa (no cliente o proveedor) maestro.
DocType: Shopify Settings,Sales Invoice Series,Serie de facturas de venta
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Asset Movement record {0} created,Registro de movimiento de activos {0} creado
DocType: Lab Prescription,Test Created,Prueba creada
DocType: Academic Term,Term Start Date,Fecha de inicio del término
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,Appointment {0} and Sales Invoice {1} cancelled,Cita {0} y factura de ventas {1} cancelada
DocType: Purchase Receipt,Vehicle Number,Número de vehículo
apps/erpnext/erpnext/templates/includes/footer/footer_extension.html,Your email address...,Tu correo electrónico...
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.js,Include Default Book Entries,Incluir entradas de libros predeterminadas
DocType: Activity Cost,Activity Type,Tipo de actividad
DocType: Purchase Invoice,Get Advances Paid,Obtener Avances Pagados
DocType: Company,Gain/Loss Account on Asset Disposal,Cuenta de ganancias / pérdidas en la disposición de activos
DocType: GL Entry,Voucher No,Cupón no
DocType: Item,Reorder level based on Warehouse,Nivel de pedido basado en almacén.
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,"Stopped Work Order cannot be cancelled, Unstop it first to cancel",La orden de trabajo detenida no se puede cancelar. Primero deténgala para cancelar
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} Números de serie requeridos para el artículo {1}. Has proporcionado {2}.
DocType: Customer,Customer Primary Contact,Contacto principal del cliente
DocType: Purchase Order Item Supplied,BOM Detail No,Detalle de la lista de materiales No
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Cash In Hand,Dinero en efectivo
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,El día festivo en {0} no está entre Desde la Fecha y Hasta la Fecha
apps/erpnext/erpnext/crm/doctype/opportunity/opportunity.py,Lead must be set if Opportunity is made from Lead,El plomo se debe establecer si la Oportunidad se hace del Plomo
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,La cuenta con la transacción existente no se puede convertir al grupo.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Timesheet {0} is already completed or cancelled,La hoja de horas {0} ya está completada o cancelada
DocType: Terms and Conditions,"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","Términos y condiciones estándar que se pueden agregar a Ventas y Compras. Ejemplos: 1. Validez de la oferta. 1. Condiciones de pago (por adelantado, a crédito, por adelantado parcial, etc.). 1. Lo que es extra (o pagadero por el Cliente). 1. Seguridad / advertencia de uso. 1. Garantía en su caso. 1. Política de devoluciones. 1. Condiciones de envío, en su caso. 1. Formas de resolver disputas, indemnizaciones, responsabilidades, etc. 1. Dirección y contacto de su empresa."
apps/erpnext/erpnext/patches/v11_0/add_default_email_template_for_leave.py,Leave Status Notification,Dejar notificación de estado
DocType: Designation Skill,Designation Skill,Habilidad de designación
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Quantity required for Item {0} in row {1},Cantidad requerida para el artículo {0} en la fila {1}
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,"To filter based on Party, select Party Type first","Para filtrar por Partido, primero seleccione Tipo de Parte"
apps/erpnext/erpnext/hr/doctype/leave_encashment/leave_encashment.py,No Salary Structure assigned for Employee {0} on given date {1},Sin estructura salarial asignada para el empleado {0} en la fecha dada {1}
DocType: Prescription Duration,Number,Número
DocType: Student Group Creation Tool,Separate course based Group for every Batch,Grupo separado basado en el curso para cada lote
DocType: Healthcare Settings,Require Lab Test Approval,Requerir aprobación de prueba de laboratorio
DocType: Bank Reconciliation,Update Clearance Date,Actualizar fecha de liquidación
DocType: Chart of Accounts Importer,Import Chart of Accounts from a csv file,Importar el cuadro de cuentas de un archivo csv
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Support for public app is deprecated. Please setup private app, for more details refer user manual","El soporte para la aplicación pública está en desuso. Por favor, configure la aplicación privada, para más detalles consulte el manual del usuario"
DocType: Contract,Signed,Firmado
DocType: Purchase Invoice,Terms and Conditions1,Términos y Condiciones1
apps/erpnext/erpnext/hr/doctype/department_approver/department_approver.py,Please select Employee Record first.,Por favor seleccione el registro de empleado primero.
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.py,Password policy for Salary Slips is not set,La política de contraseña para los Resbalones Salariales no está establecida
DocType: Assessment Result Tool,Result HTML,Resultado HTML
DocType: Agriculture Task,Ignore holidays,Ignorar las vacaciones
DocType: Linked Soil Texture,Linked Soil Texture,Textura de suelo vinculado
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle_dashboard.py,This is based on logs against this Vehicle. See timeline below for details,Esto se basa en registros contra este vehículo. Ver la línea de tiempo a continuación para más detalles
DocType: Payment Entry,ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-
DocType: Employee,Emergency Contact,Contacto de emergencia
DocType: QuickBooks Migrator,Authorization URL,URL de autorización
DocType: Attendance,On Leave,De vacaciones
