"""Customer Provided Item"" cannot be Purchase Item also","""کالای مورد اشاره مشتری""      \nنمیتواند خریداری شود",
"""Customer Provided Item"" cannot have Valuation Rate","""کالاهای ارائه‌شده توسط مشتری"" نمی‌توانند دارای نرخ ارزیابی باشند.",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",&quot;آیا دارایی ثابت&quot; نمی تواند بدون کنترل، به عنوان رکورد دارایی در برابر مورد موجود است,
'Based On' and 'Group By' can not be same,"""بر اساس"" و ""گروه شده توسط"" نمی توانند همسان باشند",
'Days Since Last Order' must be greater than or equal to zero,"""روز پس از آخرین سفارش"" باید بزرگتر یا مساوی صفر باشد",
'Entries' cannot be empty,&#39;مطالب&#39; نمی تواند خالی باشد,
'From Date' is required,&#39;از تاریخ&#39; مورد نیاز است,
'From Date' must be after 'To Date',"""از تاریخ"" باید پس از ""تا تاریخ"" باشد",
'Has Serial No' can not be 'Yes' for non-stock item,"""دارای شماره سریال""  برای موارد غیر انباری نمی تواند ""بله"" باشد",
'Opening',&#39;افتتاح&#39;,
'To Case No.' cannot be less than 'From Case No.',مقدار'تا مورد شماره' نمی تواند کمتر از 'ازمورد شماره' باشد,
'To Date' is required,'تا تاریخ' مورد نیاز است,
'Total',&#39;جمع&#39;,
'Update Stock' can not be checked because items are not delivered via {0},'به روز رسانی موجودی'نمی تواند انتخاب شود ، زیرا موارد از طریق تحویل نمی {0},
'Update Stock' cannot be checked for fixed asset sale,"""به روز رسانی انبار می تواند برای فروش دارایی ثابت شود چک",
1 exact match.,1 آزمون دقیق,
90-Above,90-بالاتر از,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,یک گروه مشتری با نام مشابهی وجود دارد. لطا نام مشتری را تغییر دهید یا نام گروه مشتری را اصلاح نمایید.,
A Default Service Level Agreement already exists.,توافق نامه سطح خدمات پیش فرض از قبل وجود دارد.,
A Lead requires either a person's name or an organization's name,یک سرنخ نام یک شخص یا نام یک سازمان نیاز دارد,
A customer with the same name already exists,یک مشتری با همین نام قبلا وجود دارد,
A question must have more than one options,یک سوال باید بیش از یک گزینه داشته باشد,
A qustion must have at least one correct options,یک کلاهبرداری حداقل باید یک گزینه صحیح داشته باشد,
A4,A4,
API Endpoint,نقطه پایانی API,
API Key,کلید API,
Abbr can not be blank or space,مخفف نمیتواند خالی یا space باشد,
Abbreviation already used for another company,مخفف در حال حاضر برای یک شرکت دیگر مورد استفاده قرار گرفته است,
Abbreviation cannot have more than 5 characters,مخفف نمی تواند بیش از 5 کاراکتر باشد,
Abbreviation is mandatory,مخفف الزامی است,
About the Company,درباره شرکت,
About your company,درباره شرکت شما,
Above,در بالا,
Academic Term,ترم تحصیلی,
Academic Term: ,شرایط تحصیلی:,
Academic Year,سال تحصیلی,
Academic Year: ,سال تحصیلی:,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},پذیرفته شده + رد تعداد باید به دریافت مقدار برابر برای مورد است {0},
Access Token,نشانه دسترسی,
Accessable Value,ارزش دسترسی,
Account,حساب,
Account Number,شماره حساب,
Account Number {0} already used in account {1},شماره حساب {0} که قبلا در حساب استفاده شده {1},
Account Pay Only,حساب پرداخت تنها,
Account Type,نوع حساب,
Account Type for {0} must be {1},نوع کاربری برای {0} باید {1},
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",مانده حساب در حال حاضر در اعتبار، شما امکان پذیر نیست را به مجموعه &quot;تراز باید&quot; را بعنوان &quot;اعتباری&quot;,
