DocType: Employee,Salary Mode,שכר Mode
DocType: Cost Center,"Select Monthly Distribution, if you want to track based on seasonality.","בחר בחתך חודשי, אם אתה רוצה לעקוב אחר המבוסס על עונתיות."
DocType: Employee,Divorced,גרוש
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +81,Warning: Same item has been entered multiple times.,אזהרה: פריט אותו הוזן מספר פעמים.
apps/erpnext/erpnext/hub_node/doctype/hub_settings/hub_settings.py +96,Items already synced,פריטים כבר סונכרנו
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,הרשה פריט שיתווסף מספר פעמים בעסקה
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py +33,Cancel Material Visit {0} before cancelling this Warranty Claim,לבטל חומר בקר {0} לפני ביטול תביעת אחריות זו
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +19,Consumer Products,מוצרים צריכה
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.js +68,Please select Party Type first,אנא בחר מפלגה סוג ראשון
DocType: Item,Customer Items,פריטים לקוח
DocType: Project,Costing and Billing,תמחיר וחיובים
apps/erpnext/erpnext/accounts/doctype/account/account.py +48,Account {0}: Parent account {1} can not be a ledger,חשבון {0}: הורה חשבון {1} לא יכול להיות פנקס
DocType: Item,Publish Item to hub.erpnext.com,פרסם פריט לhub.erpnext.com
apps/erpnext/erpnext/config/setup.py +93,Email Notifications,"הודעות דוא""ל"
DocType: Item,Default Unit of Measure,ברירת מחדל של יחידת מדידה
DocType: SMS Center,All Sales Partner Contact,כל מכירות הפרטנר לתקשר
DocType: Employee,Leave Approvers,השאר מאשרים
DocType: Sales Partner,Dealer,סוחר
DocType: Employee,Rented,הושכר
DocType: POS Profile,Applicable for User,ישים עבור משתמש
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +171,"Stopped Production Order cannot be cancelled, Unstop it first to cancel","הזמנת ייצור הפסיק אינה ניתנת לביטול, מגופתו הראשונה לביטול"
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py +36,Currency is required for Price List {0},מטבע נדרש למחיר המחירון {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* יחושב בעסקה.
apps/erpnext/erpnext/hr/doctype/employee/employee.py +28,Please setup Employee Naming System in Human Resource &gt; HR Settings,אנא עובד התקנת מערכת שמות ב משאבי אנוש&gt; הגדרות HR
DocType: Purchase Order,Customer Contact,צור קשר עם לקוחות
apps/erpnext/erpnext/selling/page/sales_browser/sales_browser.js +37,{0} Tree,{0} עץ
DocType: Job Applicant,Job Applicant,עבודת מבקש
apps/erpnext/erpnext/hub_node/page/hub/hub_body.html +18,No more results.,אין יותר תוצאות.
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +34,Legal,משפטי
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +114,Actual type tax cannot be included in Item rate in row {0},מס סוג בפועל לא ניתן כלול במחיר הפריט בשורת {0}
DocType: C-Form,Customer,לקוחות
DocType: Purchase Receipt Item,Required By,הנדרש על ידי
DocType: Delivery Note,Return Against Delivery Note,חזור נגד תעודת משלוח
DocType: Department,Department,מחלקה
DocType: Purchase Order,% Billed,% שחויבו
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py +43,Exchange Rate must be same as {0} {1} ({2}),שער החליפין חייב להיות זהה {0} {1} ({2})
DocType: Sales Invoice,Customer Name,שם לקוח
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py +100,Bank account cannot be named as {0},חשבון בנק לא יכול להיות שם בתור {0}
DocType: Features Setup,"All export related fields like currency, conversion rate, export total, export grand total etc are available in Delivery Note, POS, Quotation, Sales Invoice, Sales Order etc.","כל התחומים הקשורים ליצוא כמו מטבע, שער המרה, סך יצוא, וכו 'הסכום כולל יצוא זמינים בתעודת משלוח, POS, הצעת המחיר, מכירות חשבונית, להזמין מכירות וכו'"
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,ראשים (או קבוצות) נגד שרישומים חשבונאיים נעשים ומתוחזקים יתרות.
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +176,Outstanding for {0} cannot be less than zero ({1}),יוצא מן הכלל עבור {0} אינם יכולים להיות פחות מאפס ({1})
DocType: Manufacturing Settings,Default 10 mins,ברירת מחדל 10 דקות
DocType: Leave Type,Leave Type Name,השאר סוג שם
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py +148,Series Updated Successfully,סדרת עדכון בהצלחה
DocType: Pricing Rule,Apply On,החל ב
DocType: Item Price,Multiple Item prices.,מחירי פריט מרובים.
,Purchase Order Items To Be Received,פריטים הזמנת רכש שיתקבלו
DocType: SMS Center,All Supplier Contact,כל לתקשר עם הספק
DocType: Quality Inspection Reading,Parameter,פרמטר
apps/erpnext/erpnext/projects/doctype/project/project.py +43,Expected End Date can not be less than Expected Start Date,תאריך הסיום צפוי לא יכול להיות פחות מתאריך ההתחלה צפויה
