DocType: Accounting Period,Period Name,Időszak neve
DocType: Employee,Salary Mode,Bér mód
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,Regisztrál
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,Részben átvett
DocType: Patient,Divorced,Elvált
DocType: Support Settings,Post Route Key,Utasítássori kulcs
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,Egy tranzakción belül a tétel többszöri hozzáadásának engedélyedzése
DocType: Content Question,Content Question,Tartalmi kérdés
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,"Törölje az anyag szemlét: {0}, mielőtt törölné ezt a jótállási igényt"
DocType: Customer Feedback Table,Qualitative Feedback,Minőségi visszajelzés
apps/erpnext/erpnext/config/education.py,Assessment Reports,Értékelő jelentések
DocType: Invoice Discounting,Accounts Receivable Discounted Account,Követelések Diszkontált számla
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,Törölve
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,Vásárlói termékek
DocType: Supplier Scorecard,Notify Supplier,Értesítse a szállítót
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,"Kérjük, válasszon Ügyfelet először"
DocType: Item,Customer Items,Vevői tételek
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,Kötelezettségek
DocType: Project,Costing and Billing,Költség- és számlázás
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},Az előlegszámla pénznemének meg kell egyeznie a vállalati valuta {0}
DocType: QuickBooks Migrator,Token Endpoint,Token végpont
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,A {0} számla: Szülő számla {1} nem lehet  főkönyvi számla
DocType: Item,Publish Item to hub.erpnext.com,Közzé tétel itt: hub.erpnext.com
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,Nem található aktív távolléti időszak
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,Értékelés
DocType: Item,Default Unit of Measure,Alapértelmezett mértékegység
DocType: SMS Center,All Sales Partner Contact,Összes értékesítő partner kapcsolata
DocType: Department,Leave Approvers,Távollét jóváhagyók
DocType: Employee,Bio / Cover Letter,Bio / Cover Letter
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,Elemek keresése ...
DocType: Patient Encounter,Investigations,Laboratóriumi vizsgálatok eredményei
DocType: Restaurant Order Entry,Click Enter To Add,Kattintson az Enterre a hozzáadáshoz
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL","Hiányzó értékek a jelszó, az API-kulcs vagy a Shopify URL-hez"
DocType: Employee,Rented,Bérelt
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,Minden fiók
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,Nem lehet átirányítani a távolléten lévő alkalmazottat
DocType: Vehicle Service,Mileage,Távolság
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,Tényleg szeretné kiselejtezni ezt a Vagyontárgyat?
DocType: Drug Prescription,Update Schedule,Frissítse az ütemtervet
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,Alapértelmezett beszállító kiválasztása
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,Munkavállaló megjelenítése
DocType: Payroll Period,Standard Tax Exemption Amount,Általános adómentességi összeg
DocType: Exchange Rate Revaluation Account,New Exchange Rate,Új árfolyam
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},Árfolyam szükséges ehhez az  árlistához: {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* A tranzakcióban lesz kiszámolva.
DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
DocType: Purchase Order,Customer Contact,Vevő ügyfélkapcsolat
DocType: Shift Type,Enable Auto Attendance,Automatikus jelenlét engedélyezése
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,"Kérjük, írja be a Raktár és a dátumot"
DocType: Lost Reason Detail,Opportunity Lost Reason,Lehetséges ok
DocType: Patient Appointment,Check availability,Ellenőrizd az elérhetőséget
DocType: Retention Bonus,Bonus Payment Date,Bónusz fizetési dátuma
DocType: Employee,Job Applicant,Állásra pályázó
DocType: Job Card,Total Time in Mins,Teljes idő percben
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,Ennek alapja a beszállító ügyleteki. Lásd alábbi idővonalat a részletekért
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,Túltermelés százaléka a munkarendelésre
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,MAT-kishaszonjármű-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,Jogi
DocType: Sales Invoice,Transport Receipt Date,Szállítás átvételi dátuma
DocType: Shopify Settings,Sales Order Series,Vevői rendelési sorrend
DocType: Vital Signs,Tongue,Nyelv
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},Tényleges adó típust nem lehet hozzárendelni a Tétel értékéhez a {0} sorban
DocType: Allowed To Transact With,Allowed To Transact With,Tranzakcióhoz ezzel engedélyezése
DocType: Bank Guarantee,Customer,Vevő
DocType: Purchase Receipt Item,Required By,Által előírt
DocType: Delivery Note,Return Against Delivery Note,Szállítólevél ellenszámlája
DocType: Asset Category,Finance Book Detail,Pénzügyi könyv részletei
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,Az összes értékcsökkenést lekötötték
DocType: Purchase Order,% Billed,% számlázva
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,Bérszám
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),Az Átváltási aránynak ugyanannak kell lennie mint {0} {1} ({2})
DocType: Employee Tax Exemption Declaration,HRA Exemption,HRA mentesség
DocType: Sales Invoice,Customer Name,Vevő neve
DocType: Vehicle,Natural Gas,Földgáz
DocType: Project,Message will sent to users to get their status on the project,"A felhasználók üzenetet kapnak, hogy megkapják a projekt állapotát"
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},A bankszámlát nem nevezhetjük mint {0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,HRA a bérezési struktúra szerint
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,"Vezetők (vagy csoportok), amely ellen könyvelési tételek készültek és egyenelegeit tartják karban."
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),"Fennálló, kintlévő összeg erre: {0} nem lehet kevesebb, mint nulla ({1})"
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,A szolgáltatás leállítása nem lehet a szolgáltatás kezdési dátuma előtt
DocType: Manufacturing Settings,Default 10 mins,Alapértelmezett 10 perc
DocType: Leave Type,Leave Type Name,Távollét típus neve
apps/erpnext/erpnext/templates/pages/projects.js,Show open,Mutassa nyitva
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,Sorozat sikeresen frissítve
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,Kijelentkezés
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{0} a {1} sorban
DocType: Asset Finance Book,Depreciation Start Date,Értékcsökkenés kezdete
DocType: Pricing Rule,Apply On,Alkalmazza ezen
DocType: Item Price,Multiple Item prices.,Több tétel ár.
,Purchase Order Items To Be Received,Beszerzési megrendelés tételek beérkezett
DocType: SMS Center,All Supplier Contact,Összes beszállítói Kapcsolat
DocType: Support Settings,Support Settings,Támogatás beállítások
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0} is added in the child company {1},A (z) {0} számla hozzáadódik a (z) {1} gyermekvállalathoz
