 (Half Day),(Половина ден),
 Currently no stock available in any warehouse,Во моментов нема достапни набавувања во било кој склад,
 From Date can not be greater than To Date,Од датумот не може да биде поголем од датум,
 Group Roll No,Група ролна бр,
 or ,или,
" {0} Retain Sample is based on batch, please check Has Batch No to retain sample of item","{0} Задржете го примерокот врз основа на серијата, ве молиме проверете Has Batch No за да го зачувате примерокот од ставката",
"""Customer Provided Item"" cannot be Purchase Item also",&quot;Предмет на клиент&quot; не може да биде и набавна ставка,
"""Customer Provided Item"" cannot have Valuation Rate",&quot;Објект за клиент&quot; не може да има проценка на проценка,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","&quot;Дали е фиксната актива&quot; не може да биде непроверена, бидејќи евиденцијата постои против ставката",
'Based On' and 'Group By' can not be same,&quot;Врз основа&quot; и &quot;Група од&quot; не може да бидат исти,
'Days Since Last Order' must be greater than or equal to zero,&quot;Денови од последниот ред&quot; мора да биде поголема или еднаква на нула,
'Entries' cannot be empty,&#39;Записи&#39; не може да бидат празни,
'From Date' is required,Од &quot;Датум&quot; е потребно,
'From Date' must be after 'To Date',&#39;Од датумот&#39; мора да биде по &#39;До датум&#39;,
'Has Serial No' can not be 'Yes' for non-stock item,&quot;Има Сериски број&quot; не може да биде &quot;Да&quot; за не-акции,
'Opening',&quot;Отворање&quot;,
'To Case No.' cannot be less than 'From Case No.',&quot;До случај бр.&quot; не може да биде помала од &quot;Од случајот бр.&quot;,
'To Date' is required,Потребна е &quot;Датум&quot;,
'Total',&quot;Вкупно&quot;,
'Update Stock' can not be checked because items are not delivered via {0},"&#39;Ажурирања на акции&#39; не може да се проверат, бидејќи елементите не се доставуваат преку {0}",
'Update Stock' cannot be checked for fixed asset sale,&quot;Ажурирања на акции&quot; не може да се провери за продажба на фиксни средства,
) for {0},) за {0},
1 exact match.,1 точен натпревар.,
90-Above,90-погоре,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Група на клиенти постои со исто име, ве молиме да го промените името на клиентот или да ја преименувате Групата на клиенти",
