"""Customer Provided Item"" cannot be Purchase Item also",&quot;ဖောက်သည်ပေး Item&quot; ကိုလည်းဝယ်ယူ Item မဖွစျနိုငျ,
"""Customer Provided Item"" cannot have Valuation Rate",&quot;ဖောက်သည်ပေး Item&quot; အကောက်ခွန်တန်ဖိုးသတ်မှတ်မည်နှုန်းရှိသည်မဟုတ်နိုင်ပါတယ်,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","ပိုင်ဆိုင်မှုစံချိန်ပစ္စည်းဆန့်ကျင်တည်ရှိအဖြစ်, ထိနျးခြုပျမဖွစျနိုငျ &quot;Fixed Asset ရှိ၏&quot;",
'Based On' and 'Group By' can not be same,&#39;&#39; တွင် အခြေခံ. &#39;နဲ့&#39; Group မှဖြင့် &#39;&#39; အတူတူမဖွစျနိုငျ,
'Days Since Last Order' must be greater than or equal to zero,ထက် သာ. ကြီးမြတ်သို့မဟုတ်သုညနဲ့ညီမျှဖြစ်ရမည် &#39;&#39; ပြီးခဲ့သည့်အမိန့် ခုနှစ်မှစ. Days &#39;ဟူ.,
'Entries' cannot be empty,&#39;&#39; Entries &#39;လွတ်နေတဲ့မဖွစျနိုငျ,
'From Date' is required,&#39;&#39; နေ့စွဲ မှစ. &#39;&#39; လိုအပ်သည်,
'From Date' must be after 'To Date',&#39;&#39; နေ့စွဲ မှစ. &#39;&#39; နေ့စွဲရန် &#39;&#39; နောက်မှာဖြစ်ရပါမည်,
'Has Serial No' can not be 'Yes' for non-stock item,&#39;&#39; ဟုတ်ကဲ့ &#39;&#39; Non-စတော့ရှယ်ယာကို item သည်မဖွစျနိုငျ &#39;&#39; Serial No ရှိခြင်း &#39;&#39;,
'Opening',&#39;&#39; ဖွင့်ပွဲ &#39;&#39;,
'To Case No.' cannot be less than 'From Case No.',&#39;&#39; အမှုအမှတ်နိုင်ရန် &#39;&#39; &#39;&#39; အမှုအမှတ် မှစ. &#39;&#39; ထက်နည်းမဖွစျနိုငျ,
'To Date' is required,&#39;&#39; နေ့စွဲရန် &#39;&#39; လိုအပ်သည်,
'Total','' စုစုပေါင်း '',
'Update Stock' can not be checked because items are not delivered via {0},"ပစ္စည်းများကို {0} ကနေတဆင့်ကယ်နှုတ်တော်မူ၏မဟုတ်သောကြောင့်, &#39;&#39; Update ကိုစတော့အိတ် &#39;&#39; checked မရနိုင်ပါ",
'Update Stock' cannot be checked for fixed asset sale,&#39;&#39; Update ကိုစတော့အိတ် &#39;&#39; သတ်မှတ်ထားတဲ့ပိုင်ဆိုင်မှုရောင်းမည်အမှန်ခြစ်မရနိုငျ,
) for {0},) {0} များအတွက်,
1 exact match.,1 အတိအကျကိုပွဲ။,
90-Above,90-အထက်,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,တစ်ဖောက်သည်အုပ်စုနာမည်တူနှင့်အတူတည်ရှိသုံးစွဲသူအမည်ကိုပြောင်းလဲဒါမှမဟုတ်ဖောက်သည်အုပ်စုအမည်ပြောင်းကျေးဇူးတင်ပါ,
A Default Service Level Agreement already exists.,တစ်ဦးကပုံမှန်ဝန်ဆောင်မှုအဆင့်သဘောတူညီချက်ရှိပြီးဖြစ်သည်။,
A Lead requires either a person's name or an organization's name,တစ်ဦးကဦးဆောင်ပုဂ္ဂိုလ်တစ်ဦးရဲ့နာမည်သို့မဟုတ်အဖွဲ့အစည်းတစ်ခု၏အမည်ကိုလည်းကောင်းလိုအပ်ပါတယ်,
A customer with the same name already exists,အမည်တူနှင့်အတူတစ်ဦးကဖောက်သည်ပြီးသားတည်ရှိ,
A question must have more than one options,တစ်ဦးကမေးခွန်းတစ်ခုကိုတစ်ခုထက် ပို. ရွေးချယ်စရာရှိရမည်,
A qustion must have at least one correct options,တစ်ဦးက qustion အနည်းဆုံးမှန်ကန်သောရွေးချယ်မှုများရှိရမည်,
A {0} exists between {1} and {2} (,တစ်ဦးက {0} ({1} နှင့် {2} အကြားတည်ရှိ,
A4,A4,
API Endpoint,API ကိုဆုံးမှတ်,
API Key,API ကို Key ကို,
Abbr can not be blank or space,Abbr အလွတ်သို့မဟုတ်အာကာသမဖွစျနိုငျ,
Abbreviation already used for another company,ပြီးသားအခြားကုမ္ပဏီအတွက်အသုံးပြုအတိုကောက်,
Abbreviation cannot have more than 5 characters,အတိုကောက်ကျော်ကို 5 ဇာတ်ကောင်ရှိသည်မဟုတ်နိုင်,
Abbreviation is mandatory,အတိုကောက်မဖြစ်မနေဖြစ်ပါသည်,
About the Company,ကုမ္ပဏီအကြောင်း,
About your company,သင့်ရဲ့ကုမ္ပဏီအကြောင်း,
Above,အထက်,
Absent,မရှိသော,
