apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,විශ්රාම වැටුප් අරමුදල්
DocType: Supplier Quotation,Rounding Adjustment (Company Currency,වටය ගැලපීම (සමාගම් ව්යවහාර මුදල්
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,Course is mandatory in row {0},පාඨමාලාවට අනිවාර්ය වේ {0}
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Credit Account,ණය ගිණුම
DocType: Employee Tax Exemption Proof Submission,Submission Date,ඉදිරිපත් කිරීමේ දිනය
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure_template/clinical_procedure_template.js,Change Template Code,සැකිලි කේතය වෙනස් කරන්න
DocType: Expense Claim,Total Sanctioned Amount,සමස්ථ අනුමත මුදල
DocType: Email Digest,New Expenses,නව වියදම්
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,Healthcare Practitioner not available on {0},සෞඛ්ය ආරක්ෂණ වෘත්තිකයා {0}
DocType: Delivery Note,Transport Receipt No,ප්රවාහන ගාස්තුව
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Administrative Officer,පරිපාලන නිලධාරි
DocType: Opportunity,Probability (%),සම්භාවිතාව (%)
DocType: Soil Texture,Silty Clay Loam,සිල්ටි ක්ලේ ලොම්
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.py,WooCommerce Products,WooCommerce නිෂ්පාදන
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,ගිණුම් ගෙවීම් පමණක්
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Cess,සෙස් බදු
apps/erpnext/erpnext/config/settings.py,"Set Default Values like Company, Currency, Current Fiscal Year, etc.","සමාගම, ව්යවහාර මුදල්, වර්තමාන මුදල් වර්ෂය, වැනි පෙරනිමි අගයන් සැකසීම."
apps/erpnext/erpnext/config/projects.py,Time Tracking,කාලය ලුහුබැඳීම
DocType: Employee Education,Under Graduate,උපාධිධාරියෙකු යටතේය
DocType: Request for Quotation Item,Supplier Part No,සැපයුම්කරුගේ ෙකොටස
DocType: Journal Entry Account,Party Balance,පක්ෂයේ ශේෂය
