'Opening','Početno stanje'
Avg Daily Outgoing,Prosjek dnevne isporuke,
Make Payment Entry,Kreirajte uplatu,
Import Failed!,Uvoz nije uspio!
Warehouse {0} can not be deleted as quantity exists for Item {1},Skladište {0} ne može biti obrisano dok postoji zaliha za artikal {1}
Is Purchase Item,Artikal je za poručivanje,
Warehouse {0} does not exist,Skladište {0} ne postoji,
Confirmed orders from Customers.,Potvrđene porudžbine od strane kupaca,
Healthcare (beta),Klinika (beta)
Item Reorder,Dopuna artikla,
Report an Issue,Prijavi grešku,
Internal Transfer,Interni prenos,
Item Tax Rate,Poreska stopa,
Create a new Customer,Kreirajte novog kupca,
Attribute,Atribut,
POS Profile,POS profil,
Min Qty,Min količina,
Currency and Price List,Valuta i cjenovnik,
Write Off Account,Otpisati nalog,
Delivery Note No,Broj otpremnice,
Serial Nos and Batches,Serijski brojevi i paketi,
Employee Records to be created by,Izvještaje o Zaposlenima će kreirati,
Projects User,Projektni korisnik,
Address Desc,Opis adrese,
Mode of Payment,Način plaćanja,
Balance (Dr - Cr),Saldo (Du - Po)
My Cart,Moja korpa,
Payment From / To,Plaćanje od / za,
Grand Total (Company Currency),Za plaćanje (Valuta preduzeća)
Insufficient Stock,Nedovoljna količina,
Shipping Rule,Pravila nabavke,
Gross Profit / Loss,Bruto dobit / gubitak,
Tap items to add them here,Pritisnite na artikal da bi ga dodali ovdje,
Sales Order Trends,Trendovi prodajnih naloga,
Offline POS Name,POS naziv  u režimu van mreže (offline)
You can only renew if your membership expires within 30 days,Можете обновити само ако ваше чланство истиче за мање од 30 дана
Project Name,Naziv Projekta,
Material Transfer,Prenos robe,
Change POS Profile,Promijenite POS korisnika,
Make Quotation,Napravi predračun,
Customer,Kupac,
Supplier Quotation Item,Stavka na dobavljačevoj ponudi,
General Settings,Opšta podešavanja,
Ageing Based On,Staros bazirana na,
Ordered,Poručeno,
Credit Balance,Stanje kredita,
Gram,Gram,
Purchase Invoice,Faktura nabavke,
Closing Fiscal Year,Zatvaranje fiskalne godine,
You can only select a maximum of one option from the list of check boxes.,Из листе поља за потврду можете изабрати највише једну опцију.
Group by Voucher,Grupiši po knjiženjima,
Total Outstanding,Ukupno preostalo,
Customer Code,Šifra kupca,
Allow multiple Sales Orders against a Customer's Purchase Order,Dozvolite više prodajnih naloga koji su vezani sa porudžbenicom kupca,
Total Outgoing,Ukupno isporučeno,
User {0} is already assigned to Employee {1},Korisnik {0} je već označen kao Zaposleni {1}
Sales Register,Pregled Prodaje,
%  Delivered,% Isporučeno,
Appraisal {0} created for Employee {1} in the given date range,Procjena {0} kreirana za Zaposlenog {1} za dati period,
Party Balance,Stanje kupca,
Customers,Kupci,
Please set User ID field in an Employee record to set Employee Role,Molimo podesite polje Korisnički ID u evidenciji Zaposlenih radi podešavanja zaduženja Zaposlenih,
Task Completion,Završenost zadataka,
Set as Lost,Obilježi kao izgubljenu,
Buy,Kupovina,
{0} {1} is not active,{0} {1} nije aktivan,
Reserved Quantity,Rezervisana količina,
Return / Credit Note,Povraćaj / knjižno odobrenje,
All Employee (Active),Svi zaposleni (aktivni)
Get Items from BOM,Dodaj stavke iz  БОМ
Please select customer,Odaberite kupca,
New Address,Nova adresa,
Stock Summary,Pregled zalihe,
For Employee Name,Za ime Zaposlenog,
Net Rate (Company Currency),Neto cijena sa rabatom (Valuta preduzeća)
Additional Cost,Dodatni trošak,
Purchase Invoice Trends,Trendovi faktura dobavljaća,
Item Price,Cijena artikla,
Sales Order Date,Datum prodajnog naloga,
Delivery Note {0} must not be submitted,Otpremnica {0} se ne može potvrditi,
{0} {1} status is {2},{0} {1} status je {2}
Item Image (if not slideshow),Slika artikla (ako nije prezentacija)
Amount {0} {1} transferred from {2} to {3},Iznos {0} {1} prebačen iz {2} u {3}
" {0} Retain Sample is based on batch, please check Has Batch No to retain sample of item","{0} Zadrži Uzorak je zasnovano na serijama, molimo označite Ima Broj Serije da bi zadržali uzorak stavke."
Consultations,Pregledi,
Classification of Customers by region,Klasifikacija kupaca po regiji,
Quotation To,Ponuda za,
