DocType: Accounting Period,Period Name,دورانیہ کا نام
DocType: Employee,Salary Mode,تنخواہ موڈ
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,رجسٹر کریں
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,جزوی طور پر موصول ہوا۔
DocType: Patient,Divorced,طلاق
DocType: Support Settings,Post Route Key,روٹ کو پوسٹ کریں
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,آئٹم کو ایک ٹرانزیکشن میں ایک سے زیادہ بار شامل کیا جا کرنے کی اجازت دیں
DocType: Content Question,Content Question,مواد کا سوال۔
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,مواد کا {0} اس دعوی وارنٹی منسوخ کرنے سے پہلے منسوخ
DocType: Customer Feedback Table,Qualitative Feedback,معیار کی رائے
apps/erpnext/erpnext/config/education.py,Assessment Reports,تشخیص کی رپورٹ
DocType: Invoice Discounting,Accounts Receivable Discounted Account,اکاؤنٹس قابل وصول رعایتی اکاؤنٹ۔
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,منسوخ
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,صارفین کی مصنوعات
DocType: Supplier Scorecard,Notify Supplier,سپلائر کو مطلع کریں
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,پہلے پارٹی کی قسم منتخب کریں
DocType: Item,Customer Items,کسٹمر اشیاء
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,واجبات
DocType: Project,Costing and Billing,لاگت اور بلنگ
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},ایڈورڈز اکاؤنٹ کرنسی کو کمپنی کی کرنسی {0}
DocType: QuickBooks Migrator,Token Endpoint,ٹوکن اختتام پوائنٹ
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,اکاؤنٹ {0}: والدین اکاؤنٹ {1} ایک اکاؤنٹ نہیں ہو سکتا
DocType: Item,Publish Item to hub.erpnext.com,hub.erpnext.com کرنے آئٹم شائع
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,فعال چھوڑ مدت نہیں مل سکا
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,تشخیص
DocType: Item,Default Unit of Measure,پیمائش کی پہلے سے طے شدہ یونٹ
DocType: SMS Center,All Sales Partner Contact,تمام سیلز پارٹنر رابطہ
DocType: Department,Leave Approvers,Approvers چھوڑ دو
DocType: Employee,Bio / Cover Letter,بائیو / کور خط
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,اشیا تلاش کریں…
DocType: Patient Encounter,Investigations,تحقیقات
DocType: Restaurant Order Entry,Click Enter To Add,شامل کرنے کیلئے درج کریں پر کلک کریں
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL",پاسورڈ، API کی کلید یا Shopify یو آر ایل کے لئے لاپتہ قدر
DocType: Employee,Rented,کرایے
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,تمام اکاؤنٹس
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,اسٹیٹ بائیں کے ساتھ ملازم کو منتقل نہیں کر سکتا
DocType: Vehicle Service,Mileage,میلانہ
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,اگر تم واقعی اس اثاثہ کو ختم کرنا چاہتے ہیں؟
DocType: Drug Prescription,Update Schedule,شیڈول اپ ڈیٹ کریں
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,طے شدہ پردایک
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,ملازم دکھائیں
DocType: Payroll Period,Standard Tax Exemption Amount,معیاری ٹیکس چھوٹ کی رقم۔
DocType: Exchange Rate Revaluation Account,New Exchange Rate,نیو ایکسچینج کی شرح
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},کرنسی قیمت کی فہرست کے لئے ضروری ہے {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* ٹرانزیکشن میں حساب کیا جائے گا.
DocType: Delivery Trip,MAT-DT-.YYYY.-,میٹ - ڈی ٹی - .YYYY-
DocType: Purchase Order,Customer Contact,اپرنٹسشپس
DocType: Shift Type,Enable Auto Attendance,آٹو اٹینڈینس کو قابل بنائیں۔
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,برائے مہربانی گودام اور تاریخ درج کریں
DocType: Lost Reason Detail,Opportunity Lost Reason,موقع کھو دیا وجہ
DocType: Patient Appointment,Check availability,دستیابی کی جانچ پڑتال کریں
DocType: Retention Bonus,Bonus Payment Date,بونس ادائیگی کی تاریخ
DocType: Employee,Job Applicant,ملازمت کی درخواست گزار
DocType: Job Card,Total Time in Mins,منٹ میں کل وقت
